Province,Weight,Value,Num. Transactions,Units,Month,Year,Av. Price
ZARAGOZA,0.76,1.75,1,440,6,20,2.3026315789473686
ALICANTE,360.43,626.43,34,222932,7,20,1.7380073800738005
ALMERIA,90.8,142.98,5,53315,7,20,1.574669603524229
BARCELONA,0.11,0.38,2,94,7,20,3.4545454545454546
CASTELLON,2889.85,4351.7,111,1789056,7,20,1.5058567053653305
CORDOBA,51.32,78.79,4,34403,7,20,1.5352689010132503
MADRID,2.5,6.78,1,2000,7,20,2712
MALAGA,492.49,1312.66,39,431907,7,20,2.6653536112408376
MURCIA,28.71,38.05,2,16057,7,20,1.3253221873911527
RIOJA,208.43,373.81,8,129630,7,20,1.7934558364918678
SEVILLA,4759.4,9314.41,361,3152014,7,20,1.9570555111988908
VALENCIA,1.26,5.47,1,1258,7,20,4.341269841269841
ZARAGOZA,20.23,41.35,2,10958,7,20,2.0439940682155213
ALICANTE,52.34,123.09,14,31111,8,20,2.3517386320213984
ALMERIA,4.4,13.3,2,3014,8,20,3.0227272727272725
BADAJOZ,19.4,17.59,1,12320,8,20,0.9067010309278352
CACERES,57.28,51.18,3,28296,8,20,0.8935055865921787
CASTELLON,980.85,1407.97,33,600602,8,20,1.4354590406280268
CORDOBA,31.96,59.36,3,22083,8,20,1.8573216520650813
MADRID,0.79,5.08,3,794,8,20,6.430379746835443
MALAGA,309.85,917.75,35,309850,8,20,2.9619170566403095
MURCIA,21.05,55.76,7,10129,8,20,2.6489311163895484
RIOJA,59.69,94.84,8,35456,8,20,1.5888758586027811
SEVILLA,2399.2,5544.98,208,1776725,8,20,2.3111787262420806
ZARAGOZA,41.41,75.07,2,24740,8,20,1.8128471383723739
ALICANTE,340.3,575.24,35,210807,9,20,1.6903908316191596
ALMERIA,26.61,44.24,4,20548,9,20,1.6625328823750471
BADAJOZ,19.4,18.23,1,12320,9,20,0.9396907216494846
CACERES,36.47,35.18,2,17668,9,20,0.9646284617493831
CASTELLON,1728.73,2484.7,51,1035471,9,20,1.4372979007710862
CORDOBA,53.27,98.93,5,36805,9,20,1.8571428571428572
MADRID,0.13,0.55,1,97,9,20,4.230769230769231
MALAGA,429.28,1230.31,44,429282,9,20,2.8659849049571378
MURCIA,35.25,58.27,4,23650,9,20,1.653049645390071
RIOJA,198.83,306.14,19,123512,9,20,1.5397072876326507
SEVILLA,3897.49,8409.64,314,2755512,9,20,2.1577066265724865
ZARAGOZA,0.65,2.07,1,646,9,20,3.1846153846153844
ALICANTE,344.6,636.28,41,213113,10,20,1.8464306442251883
ALMERIA,22.54,33.88,3,12982,10,20,1.503105590062112
CACERES,17.43,17.12,1,8282,10,20,0.9822145725760184
CASTELLON,1631.99,2360.35,63,983409,10,20,1.446301754299965
CORDOBA,55.67,103.16,6,38118,10,20,1.8530626908568348
HUELVA,5.56,11.79,1,2408,10,20,2.120503597122302
LLEIDA,0.08,0.45,1,34,10,20,5625
MADRID,3.0,7.72,1,2500,10,20,2.5733333333333333
MALAGA,31.74,101.96,5,31738,10,20,3.2123503465658474
MURCIA,42.77,39.51,5,24274,10,20,0.923778349310264
OURENSE,6.35,7.51,2,2399,10,20,1.1826771653543307
RIOJA,217.28,396.92,29,135269,10,20,1.8267673048600885
SEVILLA,4136.43,9273.76,360,2969116,10,20,2.241971941988623
VIZCAYA,5.33,20.16,1,2880,10,20,3.782363977485929
ZARAGOZA,1.02,2.89,3,537,10,20,2.8333333333333335
ALICANTE,503.05,871.37,47,317016,11,20,1.7321737401848722
ALMERIA,4.06,15.61,1,2435,11,20,3.844827586206897
BARCELONA,0.76,4.63,3,535,11,20,6.092105263157895
CADIZ,13.22,20.66,2,7127,11,20,1.5627836611195158
CASTELLON,1123.27,1802.3,56,679376,11,20,1.604511827076304
CORDOBA,52.37,71.97,4,35019,11,20,1.3742600725606264
MADRID,1.0,2.73,1,900,11,20,2.73
MALAGA,34.34,71.03,6,28448,11,20,2.068433313919627
MURCIA,49.9,78.13,7,28562,11,20,1.5657314629258516
RIOJA,61.99,79.72,5,37967,11,20,1.2860138732053557
SEVILLA,4333.67,8546.65,357,3096096,11,20,1.9721506252206558
TARRAGONA,0.14,0.39,1,144,11,20,2.7857142857142856
VALENCIA,185.94,284.96,17,116787,11,20,1.532537377648704
VIZCAYA,11.94,58.51,1,6177,11,20,4.900335008375209
ZARAGOZA,1.59,5.18,2,1264,11,20,3.2578616352201255
ALBACETE,4.07,7.81,1,1742,12,20,1.9189189189189186
ALICANTE,296.12,489.84,27,184300,12,20,1.6541942455761176
ALMERIA,24.09,44.7,3,17214,12,20,1.8555417185554173
BADAJOZ,19.4,17.59,1,12320,12,20,0.9067010309278352
CACERES,19.38,16.95,1,9633,12,20,0.8746130030959752
CASTELLON,1724.33,2650.82,64,1052155,12,20,1.5373043442960457
CORDOBA,72.63,118.61,6,49125,12,20,1.6330717334434808
MADRID,18.0,19.43,1,11250,12,20,1.0794444444444444
MALAGA,24.57,43.25,3,20480,12,20,1.7602767602767602
MURCIA,157.01,127.5,12,84176,12,20,0.8120501878861219
RIOJA,36.24,64.11,2,22762,12,20,1.7690397350993377
SEVILLA,4299.92,9283.84,371,3133091,12,20,2.1590727269344545
VALENCIA,139.11,216.26,21,90618,12,20,1.5545970814463372
VIZCAYA,0.59,1.94,1,417,12,20,3.288135593220339
ZARAGOZA,20.16,41.53,1,10920,12,20,2.0600198412698414
ALICANTE,195.3,338.52,20,123268,1,21,1.7333333333333332
ALMERIA,2.0,12.93,1,1995,1,21,6465
BADAJOZ,19.4,15.38,1,12320,1,21,0.7927835051546392
BARCELONA,2.02,10.38,2,2017,1,21,5.138613861386139
CASTELLON,1260.46,1851.29,43,783235,1,21,1.46874157053774
CORDOBA,98.32,167.63,8,63738,1,21,1.7049430431244916
MADRID,28.94,58.22,2,15389,1,21,2.011748445058742
MURCIA,104.52,107.91,8,57098,1,21,1.0324339839265213
SEVILLA,2311.78,5381.52,201,1715116,1,21,2.3278685688084506
VALENCIA,81.7,126.64,8,50553,1,21,1.5500611995104039
VIZCAYA,1.31,4.62,1,696,1,21,3.5267175572519083
ALICANTE,146.73,305.91,15,91699,2,21,2.084849723982826
ALMERIA,17.34,28.7,3,10562,2,21,1.6551326412918108
CACERES,97.65,94.9,6,48512,2,21,0.9718381976446493
CADIZ,45.36,116.0,4,28080,2,21,2.557319223985891
CASTELLON,1332.05,2093.53,66,792937,2,21,1.5716602229646037
CORDOBA,31.07,39.59,2,20297,2,21,1.2742195043450275
MADRID,1.3,3.68,1,980,2,21,2.830769230769231
MALAGA,6.48,16.58,1,6482,2,21,2.5586419753086416
MURCIA,113.28,106.39,10,62777,2,21,0.9391772598870056
SEVILLA,3392.47,7582.52,296,2529726,2,21,2.2351030370202243
VALENCIA,33.28,63.21,6,17787,2,21,1.8993389423076923
VIZCAYA,8.48,32.39,2,4894,2,21,3.819575471698113
ZARAGOZA,20.93,42.93,2,11494,2,21,2.051122790253225
ALICANTE,108.85,203.22,15,67166,3,21,1.8669728984841525
ALMERIA,66.6,80.78,6,37148,3,21,1.212912912912913
BADAJOZ,40.01,55.23,3,20500,3,21,1.3804048987753061
BARCELONA,0.11,1.2,2,60,3,21,10.909090909090908
CACERES,35.93,37.53,2,17280,3,21,1.0445310325633177
CADIZ,106.24,241.03,10,65606,3,21,2.2687311746987953
CASTELLON,1914.94,3050.23,72,1169407,3,21,1.592859306296803
CORDOBA,102.72,145.14,8,68806,3,21,1.4129672897196262
MADRID,1.35,4.07,1,1300,3,21,3.0148148148148146
MALAGA,29.53,66.31,3,20928,3,21,2.2455130375888928
MURCIA,47.97,49.04,4,28130,3,21,1.0223056076714614
RIOJA,5.4,5.48,2,2808,3,21,1.0148148148148148
SEVILLA,3835.04,8014.53,302,2749053,3,21,2.089816533856231
VALENCIA,126.05,234.38,14,78828,3,21,1.8594208647362158
ZARAGOZA,1.61,4.48,3,1221,3,21,2.782608695652174
ALBACETE,1.04,2.09,1,300,4,21,2.0096153846153846
ALICANTE,77.75,145.03,15,43167,4,21,1.8653376205787782
BADAJOZ,15.48,11.93,1,9144,4,21,0.770671834625323
CADIZ,1.54,2.76,1,1540,4,21,1.7922077922077921
CASTELLON,2200.03,3539.65,71,1327879,4,21,1.6089098785016567
CORDOBA,62.01,90.17,5,41764,4,21,1.454120303176907
GIRONA,0.01,0.15,1,9,4,21,15.0
JAEN,0.23,0.23,1,113,4,21,1.0
MADRID,2.55,10.05,2,2000,4,21,3.941176470588236
MALAGA,32.16,72.95,3,29935,4,21,2.268345771144279
MURCIA,2.58,12.38,2,1464,4,21,4.798449612403101
SEVILLA,3428.71,7270.06,264,2348837,4,21,2.120348469249368
VALENCIA,139.17,213.06,12,86387,4,21,1.5309333908169867
ZARAGOZA,1.19,2.8,3,646,4,21,2.3529411764705883
ALICANTE,128.09,226.32,18,78220,5,21,1.766882660629245
ALMERIA,39.49,76.61,9,26347,5,21,1.9399848062800709
BADAJOZ,68.2,48.29,3,39931,5,21,0.7080645161290322
BARCELONA,1.33,3.25,2,1292,5,21,2.443609022556391
CACERES,18.41,18.85,1,8758,5,21,1.0239000543183054
CASTELLON,1540.45,2358.26,53,908735,5,21,1.5308903242558993
CORDOBA,106.53,181.44,10,73610,5,21,1.7031822021965644
MADRID,3.34,17.41,4,2661,5,21,5.212574850299402
MURCIA,45.65,59.6,6,24203,5,21,1.3055859802847756
SEVILLA,5838.47,11618.73,392,4023496,5,21,1.990029922222774
TARRAGONA,0.24,0.72,2,240,5,21,3.0
VALENCIA,12.47,24.74,3,7565,5,21,1.9839615076182837
ZARAGOZA,2.51,6.18,3,1620,5,21,2.462151394422311
ALICANTE,160.12,330.57,15,98186,6,21,2.064514114414189
ALMERIA,75.98,119.02,5,59431,6,21,1.5664648591734667
BADAJOZ,35.39,28.34,2,21098,6,21,0.8007911839502684
BARCELONA,0.89,2.22,1,885,6,21,2.4943820224719104
CACERES,16.36,25.57,1,7414,6,21,1.562958435207824
CASTELLON,2851.83,4075.86,93,1693791,6,21,1.4292086134166484
CORDOBA,32.91,37.47,6,19086,6,21,1.1385597082953511
MADRID,1.42,5.73,2,1269,6,21,4.035211267605634
MALAGA,14.61,76.23,1,14611,6,21,5.2176591375770025
MURCIA,127.96,122.86,8,66803,6,21,0.9601437949359175
SEVILLA,5142.4,10828.69,387,3621132,6,21,2.105765790292471
TARRAGONA,1.66,2.83,2,1064,6,21,1.7048192771084338
VALENCIA,75.48,127.3,12,46595,6,21,1.6865394806571277
VIZCAYA,11.61,58.37,1,6003,6,21,5.027562446167098
ZARAGOZA,30.19,60.61,4,15539,6,21,2.0076184166942697
ALICANTE,102.53,201.22,15,64159,7,21,1.9625475470593972
ALMERIA,36.5,61.44,5,27324,7,21,1.6832876712328766
ASTURIAS,12.89,19.76,1,7104,7,21,1.5329712955779675
BADAJOZ,19.4,19.01,1,12320,7,21,0.979896907216495
BARCELONA,0.13,0.62,2,134,7,21,4.769230769230769
CACERES,17.64,19.15,1,8176,7,21,1.0856009070294783
CASTELLON,1988.01,3446.34,71,1181671,7,21,1.7335627084370804
CORDOBA,100.69,121.86,6,66404,7,21,1.2102492799682194
MADRID,24.84,26.61,3,13408,7,21,1.0712560386473429
MURCIA,61.25,82.19,5,34902,7,21,1.3418775510204082
SEVILLA,3199.57,6717.3,211,2220362,7,21,2.0994383620298978
SIN DETERMINAR,28.22,53.09,1,13708,7,21,1.881289865343728
VALENCIA,95.9,177.84,11,61089,7,21,1.8544316996871741
ZARAGOZA,21.87,47.81,2,12624,7,21,2.1860996799268406
ALICANTE,115.93,268.63,14,69813,8,21,2.3171741568187696
ALMERIA,60.92,90.73,6,42826,8,21,1.4893302692055155
BADAJOZ,38.8,36.63,3,24640,8,21,0.9440721649484537
BARCELONA,0.07,0.19,1,23,8,21,2.714285714285714
CASTELLON,562.27,916.13,23,340472,8,21,1.6293417753036799
CORDOBA,58.83,108.36,5,38572,8,21,1.8419173890872005
MADRID,57.11,69.8,2,29219,8,21,1.2222027665907897
MALAGA,25.7,68.03,3,15828,8,21,2.6470817120622567
MURCIA,82.2,71.16,6,46699,8,21,0.8656934306569343
SEVILLA,2305.53,5515.54,151,1759645,8,21,2.3923089267977424
TARRAGONA,3.48,5.19,1,2165,8,21,1.4913793103448276
VALENCIA,57.07,106.87,7,34842,8,21,1.8726125810408272
VIZCAYA,4.26,16.13,1,2304,8,21,3.7863849765258215
ALICANTE,57.79,111.56,9,35268,9,21,1.9304377920055373
ALMERIA,34.74,59.47,4,21081,9,21,1.711859527921704
BADAJOZ,32.52,20.48,2,18544,9,21,0.6297662976629765
CASTELLON,2202.18,3276.83,77,1327304,9,21,1.4879937153184573
CORDOBA,126.81,121.43,3,81281,9,21,0.9575743237914991
MADRID,42.08,41.49,2,22017,9,21,0.9859790874524715
MURCIA,66.1,87.64,7,35458,9,21,1.3258698940998488
SEVILLA,4170.32,8629.0,278,2792802,9,21,2.069145772986246
VALENCIA,102.73,176.66,7,65008,9,21,1.7196534605275966
